query_id,query_text,query_type,hard_case_bucket,gold_answer,ambiguity_label,conflict_label,freshness_requirement_days,refusal_expected,split,context_city,context_state,context_lat,context_lon,num_claims,num_evidence,notes
gg_9d2ec04a,What county is Fairview in?,place_disambiguation,ambiguous_name,[AMBIGUOUS - Fairview exists in multiple states],needs_clarification,none,,True,dev,Fairview,,,,1,0,Fairview exists in multiple US states
gg_618fe907,What county is Manchester in?,place_disambiguation,ambiguous_name,[AMBIGUOUS - Manchester exists in multiple states],needs_clarification,none,,True,dev,Manchester,,,,1,0,Manchester exists in multiple US states
gg_bc04cd26,What county is Bristol in?,place_disambiguation,ambiguous_name,[AMBIGUOUS - Bristol exists in multiple states],needs_clarification,none,,True,dev,Bristol,,,,1,0,Bristol exists in multiple US states
gg_fbd22991,"What jurisdiction handles building permits for 450 County Line Rd, Greenville, SC?",jurisdiction,overlapping_jurisdiction,[Multiple jurisdictions may apply],multi_valid,none,365,False,test,Greenville,SC,34.8526,-82.394,1,0,Service jurisdiction unclear for Greenville
gg_d222afe3,"What jurisdiction handles zoning variances for 123 State St, Texarkana, TX?",jurisdiction,overlapping_jurisdiction,[Multiple jurisdictions may apply],multi_valid,none,365,False,test,Texarkana,TX,33.4418,-94.0377,1,0,Service jurisdiction unclear for Texarkana
gg_2c8b8e2b,"What jurisdiction handles business licenses for 789 Border Ave, El Paso, TX?",jurisdiction,overlapping_jurisdiction,[Multiple jurisdictions may apply],multi_valid,none,365,False,test,El Paso,TX,31.7619,-106.485,1,0,Service jurisdiction unclear for El Paso
gg_ef6d4b88,"What jurisdiction handles parking permits for 100 Division Blvd, Kansas City, MO?",jurisdiction,overlapping_jurisdiction,[Multiple jurisdictions may apply],multi_valid,none,365,False,dev,Kansas City,MO,39.0997,-94.5786,1,0,Service jurisdiction unclear for Kansas City
gg_70144d7b,"What jurisdiction handles noise complaints for 555 Boundary Pkwy, Bristol, TN?",jurisdiction,overlapping_jurisdiction,[Multiple jurisdictions may apply],multi_valid,none,365,False,dev,Bristol,TN,36.5951,-82.1887,1,0,Service jurisdiction unclear for Bristol
gg_b237cc34,"What jurisdiction handles trash collection for 321 Line Rd, Delmar, NY?",jurisdiction,overlapping_jurisdiction,[Multiple jurisdictions may apply],multi_valid,none,365,False,dev,Delmar,NY,42.6223,-73.8326,1,0,Service jurisdiction unclear for Delmar
gg_159e6118,"What jurisdiction handles water service for 888 Edge Dr, Union City, NJ?",jurisdiction,overlapping_jurisdiction,[Multiple jurisdictions may apply],multi_valid,none,365,False,dev,Union City,NJ,40.7795,-74.0324,1,0,Service jurisdiction unclear for Union City
gg_884f8cd3,"What jurisdiction handles road maintenance for 200 Split Rock Rd, Stamford, CT?",jurisdiction,overlapping_jurisdiction,[Multiple jurisdictions may apply],multi_valid,none,365,False,dev,Stamford,CT,41.0534,-73.5387,1,0,Service jurisdiction unclear for Stamford
gg_07dd9bfb,"What jurisdiction handles building permits for 444 Frontier St, Nogales, AZ?",jurisdiction,overlapping_jurisdiction,[Multiple jurisdictions may apply],multi_valid,none,365,False,dev,Nogales,AZ,31.3404,-110.9343,1,0,Service jurisdiction unclear for Nogales
gg_0062e700,"What jurisdiction handles zoning variances for 600 Divide Ave, Lakewood, CO?",jurisdiction,overlapping_jurisdiction,[Multiple jurisdictions may apply],multi_valid,none,365,False,dev,Lakewood,CO,39.7047,-105.0814,1,0,Service jurisdiction unclear for Lakewood
gg_83ca8eae,"What are the hours of the DMV in Brooklyn, NY?",poi,stale_fact,[Hours TBD - requires fresh source],unambiguous,none,30,False,test,Brooklyn,NY,,,1,0,Hours may have changed recently
gg_96f5973e,"What are the hours of the county clerk office in Los Angeles, CA?",poi,stale_fact,[Hours TBD - requires fresh source],unambiguous,none,30,False,test,Los Angeles,CA,,,1,0,Hours may have changed recently
gg_7dd3e1d1,"What are the hours of the tax assessor office in Chicago, IL?",poi,stale_fact,[Hours TBD - requires fresh source],unambiguous,none,30,False,test,Chicago,IL,,,1,0,Hours may have changed recently
gg_f107da35,"What are the hours of the permit office in Houston, TX?",poi,stale_fact,[Hours TBD - requires fresh source],unambiguous,none,30,False,dev,Houston,TX,,,1,0,Hours may have changed recently
gg_b7ced54a,"What are the hours of the voter registration office in Phoenix, AZ?",poi,stale_fact,[Hours TBD - requires fresh source],unambiguous,none,30,False,dev,Phoenix,AZ,,,1,0,Hours may have changed recently
gg_041a8bb8,"What are the hours of the marriage license office in Philadelphia, PA?",poi,stale_fact,[Hours TBD - requires fresh source],unambiguous,none,30,False,dev,Philadelphia,PA,,,1,0,Hours may have changed recently
gg_5d6575cb,"What are the hours of the passport office in San Antonio, TX?",poi,stale_fact,[Hours TBD - requires fresh source],unambiguous,none,30,False,dev,San Antonio,TX,,,1,0,Hours may have changed recently
gg_0534bab8,"What are the hours of the social security office in San Diego, CA?",poi,stale_fact,[Hours TBD - requires fresh source],unambiguous,none,30,False,dev,San Diego,CA,,,1,0,Hours may have changed recently
gg_64e78f42,"What are the hours of the unemployment office in Dallas, TX?",poi,stale_fact,[Hours TBD - requires fresh source],unambiguous,none,30,False,dev,Dallas,TX,,,1,0,Hours may have changed recently
gg_32ef453b,"What are the hours of the city hall in Seattle, WA?",poi,stale_fact,[Hours TBD - requires fresh source],unambiguous,none,30,False,dev,Seattle,WA,,,1,0,Hours may have changed recently
gg_5d129954,"What is the correct address for the marriage license office in Brooklyn, NY?",poi,conflicting_sources,[Address TBD - sources may conflict],unambiguous,conflicting_sources,30,True,test,Brooklyn,NY,,,1,0,Find cases where Google Maps vs official site disagree
gg_66a8f829,"What is the correct address for the passport office in Los Angeles, CA?",poi,conflicting_sources,[Address TBD - sources may conflict],unambiguous,conflicting_sources,30,True,test,Los Angeles,CA,,,1,0,Find cases where Google Maps vs official site disagree
gg_595c625d,"What is the correct address for the social security office in Chicago, IL?",poi,conflicting_sources,[Address TBD - sources may conflict],unambiguous,conflicting_sources,30,True,test,Chicago,IL,,,1,0,Find cases where Google Maps vs official site disagree
gg_1e5f3dd8,"What is the correct address for the unemployment office in Houston, TX?",poi,conflicting_sources,[Address TBD - sources may conflict],unambiguous,conflicting_sources,30,True,dev,Houston,TX,,,1,0,Find cases where Google Maps vs official site disagree
gg_9cad26c4,"What is the correct address for the city hall in Phoenix, AZ?",poi,conflicting_sources,[Address TBD - sources may conflict],unambiguous,conflicting_sources,30,True,dev,Phoenix,AZ,,,1,0,Find cases where Google Maps vs official site disagree
gg_ebc6f765,"What is the correct address for the DMV in Philadelphia, PA?",poi,conflicting_sources,[Address TBD - sources may conflict],unambiguous,conflicting_sources,30,True,dev,Philadelphia,PA,,,1,0,Find cases where Google Maps vs official site disagree
gg_6f69b979,"What is the correct address for the county clerk office in San Antonio, TX?",poi,conflicting_sources,[Address TBD - sources may conflict],unambiguous,conflicting_sources,30,True,dev,San Antonio,TX,,,1,0,Find cases where Google Maps vs official site disagree
gg_f0afd734,"What is the correct address for the tax assessor office in San Diego, CA?",poi,conflicting_sources,[Address TBD - sources may conflict],unambiguous,conflicting_sources,30,True,dev,San Diego,CA,,,1,0,Find cases where Google Maps vs official site disagree
gg_ee2c137a,"What is the correct address for the permit office in Dallas, TX?",poi,conflicting_sources,[Address TBD - sources may conflict],unambiguous,conflicting_sources,30,True,dev,Dallas,TX,,,1,0,Find cases where Google Maps vs official site disagree
gg_a83318ad,"What is the correct address for the voter registration office in Seattle, WA?",poi,conflicting_sources,[Address TBD - sources may conflict],unambiguous,conflicting_sources,30,True,dev,Seattle,WA,,,1,0,Find cases where Google Maps vs official site disagree
